idx,milhar,dezena,grupo,animal,hora,local,tipo
102,8031,31,8,Camelo,17:00,,Vespertino
103,5707,7,2,Águia,17:00,,Vespertino
104,5625,25,7,Carneiro,17:00,,Vespertino
105,8218,18,5,Cachorro,17:00,,Vespertino
106,1477,77,20,Peru,17:00,,Vespertino
107,8558,58,15,Jacaré,17:00,,Vespertino
108,0762,62,16,Leão,16:00,,Vespertino
109,3021,21,6,Cabra,16:00,,Vespertino
110,1758,58,15,Jacaré,16:00,,Vespertino
111,3157,57,15,Jacaré,16:00,,Vespertino
112,4746,46,12,Elefante,16:00,,Vespertino
113,0171,71,18,Porco,16:00,,Vespertino
114,6838,38,10,Coelho,16:00,,Vespertino
115,5501,1,1,Avestruz,16:00,,Vespertino
116,7227,27,7,Carneiro,16:00,,Vespertino
117,4065,65,17,Macaco,16:00,,Vespertino
118,7185,85,22,Tigre,14:00,,Vespertino
119,4730,30,8,Camelo,14:00,,Vespertino
120,6181,81,21,Touro,14:00,,Vespertino
121,6644,44,11,Cavalo,14:00,,Vespertino
122,5145,45,12,Elefante,14:00,,Vespertino
123,3670,70,18,Porco,14:00,,Vespertino
124,3705,5,2,Águia,14:00,,Vespertino
125,1735,35,9,Cobra,14:00,,Vespertino
126,7632,32,8,Camelo,14:00,,Vespertino
127,5331,31,8,Camelo,14:00,,Vespertino
128,1677,77,20,Peru,13:00,,Vespertino
129,4703,3,1,Avestruz,13:00,,Vespertino
130,5055,55,14,Gato,13:00,,Vespertino
131,8653,53,14,Gato,13:00,,Vespertino
132,5902,2,1,Avestruz,13:00,,Vespertino
133,4518,18,5,Cachorro,13:00,,Vespertino
134,7443,43,11,Cavalo,13:00,,Vespertino
